count,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
1,"M., Cavallaro, Mauro; T., Romeo, Teresa; V.L., Presti, Vittorio Lo; A., Giuffrida, Alessandro; F., Giarratana, Filippo; G., Ziino, Graziella; L., Nalbone, Luca; A.N., Virga, Antonino Nazareno; N., Cicero, Nicola; G., Di Bella, Giuseppa","Cavallaro, Mauro (16645112100); Romeo, Teresa (7004909109); Presti, Vittorio Lo (57226277511); Giuffrida, Alessandro (55106203600); Giarratana, Filippo (11939688800); Ziino, Graziella (35618290400); Nalbone, Luca (57208663537); Virga, Antonino Nazareno (6602815567); Cicero, Nicola (36141841100); Di Bella, Giuseppa (24464446300)",16645112100; 7004909109; 57226277511; 55106203600; 11939688800; 35618290400; 57208663537; 6602815567; 36141841100; 24464446300,Metal(loid)s in mesopelagic fishes from the Mediterranean food web,2026,Marine Pollution Bulletin,222,,118772,,,0,0,10.1016/j.marpolbul.2025.118772,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017116590&doi=10.1016%2Fj.marpolbul.2025.118772&partnerID=40&md5=1b83512b9d1ad817a6451cd127d31d8f,Article,Final,,Scopus,2-s2.0-105017116590
2,"T.A., A.x, Treasa Augustina; M.P., Sreeram, Miriam Paul; E., Varghese, Eldho; K.M., Sreekumar, Kaippaparambil Manikandan","A.x, Treasa Augustina (59508481900); Sreeram, Miriam Paul (57202002055); Varghese, Eldho (35520524000); Sreekumar, Kaippaparambil Manikandan (57219197851)",59508481900; 57202002055; 35520524000; 57219197851,"Seasonal and temporal variations in deep-sea ichthyofaunal diversity (200 −500 m) of Quilon terrace, Southwest Coast of India",2025,Regional Studies in Marine Science,89,,104318,,,0,0,10.1016/j.rsma.2025.104318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009512264&doi=10.1016%2Fj.rsma.2025.104318&partnerID=40&md5=4b4632d923a72d0911e3fa56adcb9045,Article,Final,,Scopus,2-s2.0-105009512264
3,"J.R., Martins, Júlia Rodrigues; M.M., Mincarone, Michael Maia; A., Bertrand, Arnaud; C.I., Artana, Camila I.; F., Lucena-Frédou, Flávia; A., Koch-Larrouy, Ariane; R.S., Lima, Rayssa Siqueira; L.N., Eduardo, Leandro Nole","Martins, Júlia Rodrigues (57211646203); Mincarone, Michael Maia (6508325326); Bertrand, Arnaud (7102204199); Artana, Camila I. (57190217557); Lucena-Frédou, Flávia (59567158900); Koch-Larrouy, Ariane (18935730400); Lima, Rayssa Siqueira (58389307300); Eduardo, Leandro Nole (57195218187)",57211646203; 6508325326; 7102204199; 57190217557; 59567158900; 18935730400; 58389307300; 57195218187,Influence of the Amazon River plume on the biodiversity and assemblage structure of lanternfishes (Myctophidae),2025,Deep-Sea Research Part I: Oceanographic Research Papers,225,,104572,,,0,1,10.1016/j.dsr.2025.104572,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013743869&doi=10.1016%2Fj.dsr.2025.104572&partnerID=40&md5=ceda16e24a999984db3c8e29762bc7a3,Article,Final,,Scopus,2-s2.0-105013743869
4,"M., Wiech, Martin; E., García-Seoane, Eva; Y., Zhu, Yiou; M.C.V., Fuglås, Maren C.V.; S.W., Petersen, Sindre W.; S., Øyan, Sigurd; M.H.G., Berntssen, Marc H.G.; N., Gautam, Nawaraj; A.J.P., Philip, Antony Jesu Prabhu; A.M., Azad, Atabak Mahjour","Wiech, Martin (57192554369); García-Seoane, Eva (55755182400); Zhu, Yiou (57221095971); Fuglås, Maren C.V. (59975497400); Petersen, Sindre W. (59976203600); Øyan, Sigurd (59976035700); Berntssen, Marc H.G. (6603855136); Gautam, Nawaraj (59976203700); Philip, Antony Jesu Prabhu (57205645744); Azad, Atabak Mahjour (57204558548)",57192554369; 55755182400; 57221095971; 59975497400; 59976203600; 59976035700; 6603855136; 59976203700; 57205645744; 57204558548,Species and element-specific associations of trace elements with body size in mesopelagic fish and crustaceans from the north-East Atlantic,2025,Environmental Research,284,,122228,,,0,0,10.1016/j.envres.2025.122228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009855398&doi=10.1016%2Fj.envres.2025.122228&partnerID=40&md5=b07d682a325cb18a774c38c1870bd55d,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105009855398
5,"L.A., Costa, Laura Alma; J.L., Coletto, J. L.; J.H., Muelbert, José Henrique","Costa, Laura Alma (60043033300); Coletto, J. L. (57192928578); Muelbert, José Henrique (6507284410)",60043033300; 57192928578; 6507284410,Trophic ecology analysis of two lanternfish species (Gymnoscopelus bolini and Lepidophanes guentheri) suggests spatial niche segregation in the southwestern Atlantic Ocean,2025,Journal of Sea Research,207,,102614,,,0,1,10.1016/j.seares.2025.102614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013392488&doi=10.1016%2Fj.seares.2025.102614&partnerID=40&md5=0fdbf0eaf1617618007f484b64d7f730,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105013392488
6,"J.L., Coletto, J. L.; S.C., Weigert, Stefan Cruz; J.H., Muelbert, José Henrique; J.C., Di Tullio, Juliana Couto; E.R., Secchi, E. R.; S., Botta, Silvina","Coletto, J. L. (57192928578); Weigert, Stefan Cruz (8400808500); Muelbert, José Henrique (6507284410); Di Tullio, Juliana Couto (37096862000); Secchi, E. R. (6603441668); Botta, Silvina (18933767100)",57192928578; 8400808500; 6507284410; 37096862000; 6603441668; 18933767100,Insights Into the Feeding Ecology of Young-of-the-Year Bigeye Tuna (Thunnus obesus) in the Southwestern Atlantic Ocean,2025,Fisheries Oceanography,34,5,,121,127,0,1,10.1111/fog.12742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005860260&doi=10.1111%2Ffog.12742&partnerID=40&md5=039a6f0254bfd17e82741d1f84b58e42,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105005860260
7,"B., Zhang, Bowen; H.R., Pethybridge, Heidi R.; Y., Li, Yunkai","Zhang, Bowen (57986151600); Pethybridge, Heidi R. (16425724700); Li, Yunkai (35094207300)",57986151600; 16425724700; 35094207300,Mercury bioaccumulation and biomagnification in mesopelagic biota,2025,Marine Pollution Bulletin,218,,118209,,,0,1,10.1016/j.marpolbul.2025.118209,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005859836&doi=10.1016%2Fj.marpolbul.2025.118209&partnerID=40&md5=bf036ea17879f08353de4156d8cb758c,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105005859836
8,"E., García-Seoane, Eva; H., Gjosaeter, Harald; P., Dalpadado, Padmini; S., Kaartvedt, Stein","García-Seoane, Eva (55755182400); Gjosaeter, Harald (6701498743); Dalpadado, Padmini (6603126807); Kaartvedt, Stein (7003377290)",55755182400; 6701498743; 6603126807; 7003377290,Why is the Arabian Sea a hotspot for myctophids?,2025,Fisheries Research,288,,107453,,,0,0,10.1016/j.fishres.2025.107453,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010908998&doi=10.1016%2Fj.fishres.2025.107453&partnerID=40&md5=9ba5b6ddcd6e47b5b53e9c04dee58849,Review,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105010908998
9,"M.P., Olivar, M. Pilar; C., López-Pérez, Cristina; A., Sabatés, Ana; A.N., Sarmiento-Lezcano, Airam N.","Olivar, M. Pilar (6701404333); López-Pérez, Cristina (55558641900); Sabatés, Ana (6602858768); Sarmiento-Lezcano, Airam N. (57201388682)",6701404333; 55558641900; 6602858768; 57201388682,Surface swarms of the lanternfish Myctophum punctatum associated to dolphin presence,2025,Journal of Sea Research,206,,102597,,,0,0,10.1016/j.seares.2025.102597,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008025246&doi=10.1016%2Fj.seares.2025.102597&partnerID=40&md5=e632359deb4fe4c64259de0e8e81b9e6,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105008025246
10,"J.G., Gutiérrez-Bravo, Juan Gerardo; M.A., Altabet, Mark A.; L., Sánchez-Velasco, Laura; S.P.A.P.A., Jiménez-Rosenberg, Sylvia Patricia Aldeheid Patricia Adelheid","Gutiérrez-Bravo, Juan Gerardo (57995820000); Altabet, Mark A. (57201695156); Sánchez-Velasco, Laura (6603606612); Jiménez-Rosenberg, Sylvia Patricia Aldeheid Patricia Adelheid (6508092929)",57995820000; 57201695156; 6603606612; 6508092929,Midwater anoxia disrupts the trophic structure of zooplankton and fish in an oxygen deficient zone,2025,Limnology and Oceanography,70,4,,886,898,0,0,10.1002/lno.12813,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003702179&doi=10.1002%2Flno.12813&partnerID=40&md5=539af9824fc8a0fe628f36ccd82f4b2d,Article,Final,,Scopus,2-s2.0-105003702179
11,"K.K., Lim, Kah Kheng; C., Angulo-Preckler, Carlos; C.A., Hempel, Christopher A.; M.A.B., Qurban, Mohammad Ali B.; V.A., Pieribone, Vincent A.; C.M., Duarte, C. M.","Lim, Kah Kheng (57208601809); Angulo-Preckler, Carlos (55334998900); Hempel, Christopher A. (57216670469); Qurban, Mohammad Ali B. (57212567148); Pieribone, Vincent A. (7003409066); Duarte, C. M. (55636631300)",57208601809; 55334998900; 57216670469; 57212567148; 7003409066; 55636631300,Benthic Feeding and Diet Partitioning in Red Sea Mesopelagic Fish Resolved Through DNA Metabarcoding and ROV Footage,2025,Ecology and Evolution,15,3,e71091,,,0,1,10.1002/ece3.71091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000156458&doi=10.1002%2Fece3.71091&partnerID=40&md5=d7cc731916445d46d33697b8f0ffa473,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-105000156458
