ref,species,yearstart,locality,dist_to_shore
alwis1988a,benthosema suborbitale,1982,tanzania,200018.89733395522
alwis1988a,diaphus jenseni,1982,tanzania,200018.89733395522
alwis1988a,triphoturus microchir,1982,tanzania,200018.89733395522
alwis1988a,benthosema pterotum,1982,tanzania,200018.89733395522
alwis1988a,diaphus nielseni,1982,tanzania,200018.89733395522
alwis1988a,diaphus garmani,1982,tanzania,200018.89733395522
alwis1988a,ceratoscopelus warmingii,1982,tanzania,200018.89733395522
alwis1988a,diaphus perspicillatus,1982,tanzania,200018.89733395522
alwis1988a,lampanyctus sp,1982,tanzania,200018.89733395522
alwis1988a,benthosema fibulatum,1982,tanzania,200018.89733395522
alwis1988a,myctophum brachygnathum,1982,tanzania,200018.89733395522
alwis1988a,myctophum obtusirostrum,1982,tanzania,200018.89733395522
alwis1988a,symbolophorus evermanni,1982,tanzania,200018.89733395522
alwis1988a,diaphus thiollierei,1982,tanzania,200018.89733395522
alwis1988a,diaphus watasei,1982,tanzania,200018.89733395522
alwis1988b,diaphus dumerilii,1981,mauritiania,296309.411741064
alwis1988b,diaphus taaningi,1981,mauritiania,296309.411741064
alwis1988b,myctophum affine,1981,mauritiania,296309.411741064
alwis1988b,myctophum nitidulum,1981,mauritiania,296309.411741064
applebaum1982,ceratoscopelus warmingii,1979,sargasso sea,1095941.032270382
applebaum1982,benthosema glaciale,1979,sargasso sea,1095941.032270382
applebaum1982,bolinichthys indicus,1979,sargasso sea,1095941.032270382
applebaum1982,diaphus mollis,1979,sargasso sea,1095941.032270382
applebaum1982,diaphus rafinesquii,1979,sargasso sea,1095941.032270382
applebaum1982,diaphus sp.,1979,sargasso sea,1095941.032270382
applebaum1982,hygophum hygomii,1979,sargasso sea,1095941.032270382
applebaum1982,hygophum taaningi,1979,sargasso sea,1095941.032270382
applebaum1982,lampanyctus crocodilus,1979,sargasso sea,1095941.032270382
applebaum1982,lampanyctus cuprarius,1979,sargasso sea,1095941.032270382
