ref,species,yearstart,locality,seafloor_depth_m
bosley2004,diaphus theta,2001,us,162.85397338867188
bosley2004,stenobrachius leucopsarus,2001,us pacific,162.85397338867188
cailliet1990,stenobrachius leucopsarus,1964,us,1809.010498046875
chen2022,diaphus splendidus,2020,south china sea,774.79241943359375
clarke1978,notolychnus valdiviae,1973,hawaii,1363.580322265625
clarke1978,benthosema suborbitale,1973,hawaii,1363.580322265625
clarke1978,hygophum proximum,1973,hawaii,1363.580322265625
clarke1978,triphoturus nigrescens,1973,hawaii,1363.580322265625
clarke1978,diaphus schmidti,1973,hawaii,1363.580322265625
clarke1978,lampanyctus steinbecki,1973,hawaii,1363.580322265625
clarke1978,bolinichthys longipes,1973,hawaii,1363.580322265625
clarke1978,ceratoscopelus warmingii,1973,hawaii,1363.580322265625
clarke1978,lampanyctus nobilis,1973,hawaii,1363.580322265625
clarke1978,lampanyctus niger,1973,hawaii,1363.580322265625
clarke1980,diogenichthys atlanticus,1973,hawaii,989.01031494140625
clarke1980,notolychnus valdiviae,1973,hawaii,989.01031494140625
clarke1980,benthosema suborbitale,1973,hawaii,989.01031494140625
clarke1980,triphoturus nigrescens,1973,hawaii,989.01031494140625
clarke1980,diaphus schmidti,1973,hawaii,989.01031494140625
clarke1980,diaphus fragilis,1973,hawaii,989.01031494140625
clarke1980,bolinichthys longipes,1973,hawaii,989.01031494140625
clarke1980,diaphus trachops,1973,hawaii,989.01031494140625
clarke1980,lampanyctus steinbecki,1973,hawaii,989.01031494140625
clarke1980,diaphus perspicillatus,1973,hawaii,989.01031494140625
clarke1980,ceratoscopelus warmingii,1973,hawaii,989.01031494140625
clarke1980,lampanyctus nobilis,1973,hawaii,989.01031494140625
collard1970,myctophum spinosum,1963,NA,5498.3203125
collard1970,stenobrachius leucopsarus,1963,NA,658.4776611328125
collard1970,parvilux ingens,1963,temperate pacific,1131.5147705078125
collard1970,ceratoscopelus townsendi,1963,tropical pacific,4919.30224609375
collard1970,diaphus coeruleus,1963,tropical pacific,5498.3203125
collard1970,diaphus elucens,1963,tropical pacific,5498.3203125
collard1970,diaphus sp.,1963,tropical pacific,5498.3203125
collard1970,diaphus theta,1963,temperate pacific,645.60406494140625
collard1970,diogenichthys laternatus,1963,temperate pacific,697.6810302734375
collard1970,lampanyctus australis,1963,NA,3063.844970703125
collard1970,lampanyctus macropterus,1963,tropical pacific,5498.3203125
collard1970,lampanyctus regalis,1963,temperate pacific,1585.085205078125
collard1970,lampanyctus ritteri,1963,NA,666.49951171875
collard1970,myctophum aurolaternatum,1963,tropical pacific,5498.3203125
collard1970,symbolophorus californiensis,1963,temperate pacific,3546.39404296875
collard1970,tarletonbeania crenularis,1963,temperate pacific,666.49951171875
collard1970,triphoturus mexicanus,1963,NA,274.775146484375
gaskett2001,electrona antarctica,1999,australia,3977.679931640625
gaskett2001,electrona carlsbergi,1999,australia,3977.679931640625
gaskett2001,electrona subaspera,1999,australia,3977.679931640625
gaskett2001,gymnoscopelus bolini,1999,australia,3977.679931640625
gaskett2001,gymnoscopelus braueri,1999,australia pacific,3977.679931640625
gaskett2001,gymnoscopelus fraseri,1999,australia pacific,3977.679931640625
gaskett2001,gymnoscopelus microlampas,1999,australia,3977.679931640625
gaskett2001,gymnoscopelus nicholsi,1999,australia pacific,3977.679931640625
gaskett2001,gymnoscopelus piabilis,1999,australia pacific,3977.679931640625
gaskett2001,kreffichthys anderssoni,1999,australia pacific,3977.679931640625
gaskett2001,lampanyctus achirus,1999,australia pacific,3977.679931640625
gaskett2001,protomyctophum andriashevi,1999,australia pacific,3977.679931640625
gaskett2001,protomyctophum bolini,1999,australia pacific,3977.679931640625
gaskett2001,protomyctophum parallelum,1999,australia pacific,3977.679931640625
gaskett2001,protomyctophum tenisoni,1999,australia pacific,3977.679931640625
gong2024,diaphus brachycephalus,2015,south china sea,4253.48291015625
gong2024,ceratoscopelus warmingii,2015,south china sea,4253.48291015625
kosenok2006,diaphus theta,2001,NA,5345.5322265625
kubota1980,benthosema pterotum,1969,japan,644.4677734375
kubota1980,diaphus suborbitalis,1969,japan,644.4677734375
kubota1980,myctophum nitidulum,1969,japan,644.4677734375
kubota1980,myctophum orientale,1969,japan,644.4677734375
mccrone1981,diaphus theta,1973,NA,3337.08984375
mccrone1981,stenobrachius leucopsarus,1973,NA,3337.08984375
pearcy1979,stenobrachius leucopsarus,1972,us,2874.85205078125
rodriguez2005,diogenichthys laternatus,1997,chile,1680.196044921875
rodriguez2005,triphoturus mexicanus,1997,chile,1680.196044921875
sassa 2023,diaphus fulgens,2008,south china sea,1527.657470703125
sassa2019,symbolophorus californiensis,2003,japan,4661.47216796875
sassa2020,myctophum orientale,2003,japan,4400.40234375
suntsov2008,diaphus theta,2006,us,456.5521240234375
suntsov2008,stenobrachius leucopsarus,2006,us,456.5521240234375
suntsov2008,tarletonbeania crenularis,2006,us,456.5521240234375
takagi2009,myctophum asperum,2002,japan,5907.42529296875
takagi2009,symbolophorus californiensis,2002,japan,5907.42529296875
takagi2009,ceratoscopelus warmingii,2002,japan,5907.42529296875
tanaka2013,diaphus garmani,2003,japan,793.1749267578125
tanaka2013,diaphus chrysorhynchus,2003,japan,793.1749267578125
tyler1975,diaphus theta,1963,us,189.3398895263672
tyler1975,tarletonbeania crenularis,1963,us,189.3398895263672
tyler1975,stenobrachius leucopsarus,1963,us,189.3398895263672
uchikawa2008,lampanyctus jordani,1996,japan,279.4324951171875
vannoord2013,centrobranchus andreae,2007,marianas,2459.289794921875
vannoord2013,myctophum aurolaternatum,2007,marianas,2459.289794921875
vannoord2013,myctophum lychnobium,2007,marianas,2459.289794921875
vannoord2013,myctophum nitidulum,2007,marianas,2459.289794921875
vannoord2013,symbolophorus evermanni,2007,marianas,2459.289794921875
vannoord2016,gonichthys tenuiculus,2006,pacific,3823.462890625
vannoord2016,myctophum nitidulum,2006,pacific,3823.462890625
vannoord2016,symbolophorus reversus,2006,pacific,3823.462890625
watanabe2003,myctophum nitidulum,1961,japan,4107.05615234375
williams2001,hygophum hanseni,1992,tasmania,251.3553466796875
williams2001,diaphus danae,1992,tasmania,251.3553466796875
williams2001,lampanyctus australis,1992,tasmania,251.3553466796875
young1986,lampanyctodes hectoris,1984,tasmania,648.08831787109375
young1986,diaphus danae,1984,tasmania,648.08831787109375
zhang2024,diaphus watasei,2021,east china sea,463.6939697265625
alwis1988b,diaphus dumerilii,1981,mauritiania,760.458984375
alwis1988b,diaphus taaningi,1981,mauritiania,760.458984375
alwis1988b,myctophum affine,1981,mauritiania,760.458984375
alwis1988b,myctophum nitidulum,1981,mauritiania,760.458984375
applebaum1982,ceratoscopelus warmingii,1979,sargasso sea,2107.27001953125
applebaum1982,benthosema glaciale,1979,sargasso sea,2107.27001953125
applebaum1982,bolinichthys indicus,1979,sargasso sea,2107.27001953125
applebaum1982,diaphus mollis,1979,sargasso sea,2107.27001953125
applebaum1982,diaphus rafinesquii,1979,sargasso sea,2107.27001953125
applebaum1982,diaphus sp.,1979,sargasso sea,2107.27001953125
applebaum1982,hygophum hygomii,1979,sargasso sea,2107.27001953125
applebaum1982,hygophum taaningi,1979,sargasso sea,2107.27001953125
applebaum1982,lampanyctus crocodilus,1979,sargasso sea,2107.27001953125
applebaum1982,lampanyctus cuprarius,1979,sargasso sea,2107.27001953125
applebaum1982,lampanyctus photonotus,1979,sargasso sea,2107.27001953125
applebaum1982,lobianchia gemellarii,1979,sargasso sea,2107.27001953125
applebaum1982,notoscopelus kroyeri,1979,sargasso sea,2107.27001953125
badouvas2024,benthosema glaciale,2018,mediterranean,762.30487060546875
badouvas2024,myctophum punctatum,2018,mediterranean,762.30487060546875
badouvas2024,ceratoscopelus maderensis,2018,mediterranean,762.30487060546875
badouvas2024,notoscopelus elongatus,2018,mediterranean,762.30487060546875
baird1975,diaphus taaningi,1972,cariaco trench,768.969970703125
battaglia2014,diaphus metopoclampus,2010,mediterranean,1008.4550170898438
battaglia2016,electrona risso,2012,mediterranean,1199.135009765625
bernal2013,lampanyctus pusillus,2009,mediterranean,567.7000732421875
bernal2015,benthosema glaciale,2009,mediterranean,567.7000732421875
bernal2015,lobianchia dofleini,2009,mediterranean,567.7000732421875
